Location,Cases,casePer100k,Deaths,deathsPer100k
California,"1,524,440","3,858","20,859",53
Texas,"1,388,909","4,790","24,143",83
Florida,"1,106,396","5,151","19,714",92
Illinois,"832,951","6,573","15,067",119
New York,"753,837","3,875","35,357",182
Ohio,"542,209","4,639","7,426",64
Georgia,"531,593","5,007","10,031",94
Pennsylvania,"476,249","3,720","12,183",95
Wisconsin,"461,367","7,924","4,266",73
Michigan,"460,346","4,610","10,965",110
Tennessee,"436,262","6,388","5,327",78
North Carolina,"423,623","4,039","5,752",55
Indiana,"412,135","6,122","6,673",99
Arizona,"394,512","5,420","7,245",100
New Jersey,"390,256","4,394","17,662",199
Minnesota,"370,968","6,578","4,351",77
Missouri,"343,412","5,595","4,551",74
Alabama,"288,775","5,890","4,086",83
Colorado,"281,673","4,891","3,846",67
Massachusetts,"280,436","4,069","11,257",163
Virginia,"274,438","3,215","4,370",51
Louisiana,"264,191","5,683","6,767",146
Iowa,"253,612","8,038","3,193",101
South Carolina,"245,226","4,763","4,673",91
Oklahoma,"229,353","5,796","2,007",51
Maryland,"228,471","3,779","5,064",84
Utah,"228,129","7,116","1,025",32
Kentucky,"217,119","4,860","2,168",49
Washington,"195,554","2,568","2,879",38
Kansas,"188,318","6,464","2,072",71
Arkansas,"181,624","6,018","2,875",95
Nevada,"181,310","5,886","2,479",80
Mississippi,"175,282","5,890","4,124",139
Nebraska,"146,877","7,593","1,343",69
Connecticut,"146,761","4,116","5,363",150
Idaho,"119,610","6,693","1,151",64
New Mexico,"116,565","5,559","1,889",90
Oregon,"91,420","2,168","1,138",27
South Dakota,"89,672","10,136","1,210",137
North Dakota,"87,214","11,444","1,130",148
Montana,"71,870","6,725",805,75
Rhode Island,"70,818","6,685","1,509",142
Puerto Rico,"61,723","1,933","1,266",40
West Virginia,"60,637","3,383",938,52
Delaware,"43,818","4,500",807,83
Alaska,"39,975","5,464",158,22
Wyoming,"38,785","6,701",321,55
New Hampshire,"29,460","2,167",590,43
District of Columbia,"24,357","3,451",709,100
Hawaii,"19,315","1,364",269,19
Maine,"15,206","1,131",250,19
Guam,"7,079",,115,
Vermont,"5,541",888,93,15
US Virgin Islands,"1,791",,23,
Northern Mariana Islands,113,,2,